,RegionID,SizeRank,Region Name,Region Type,State Name,Date Recorded,Median Sale Price,city,state_name,lat,lng
98298,395096,141,"Shreveport, LA",msa,Louisiana,2023-01-31,187064.0,Shreveport,Louisiana,32.4653,-93.7955
98299,395164,142,"Trenton, NJ",msa,New Jersey,2023-01-31,292000.0,Trenton,New Jersey,40.2237,-74.7641
98300,394875,143,"Montgomery, AL",msa,Alabama,2023-01-31,167667.0,Montgomery,Alabama,32.3482,-86.2668
98302,395146,145,"Tallahassee, FL",msa,Florida,2023-01-31,249000.0,Tallahassee,Florida,30.4551,-84.2527
98303,394576,146,"Eugene, OR",msa,Oregon,2023-01-31,418833.0,Eugene,Oregon,44.0564,-123.1174
98304,394901,147,"Naples, FL",msa,Florida,2023-01-31,553700.0,Naples,Florida,26.1504,-81.7936
98305,394332,148,"Ann Arbor, MI",msa,Michigan,2023-01-31,323336.0,Ann Arbor,Michigan,42.2759,-83.731
98306,394927,149,"Ocala, FL",msa,Florida,2023-01-31,239667.0,Ocala,Florida,29.178,-82.1511
98307,394679,150,"Hickory, NC",msa,North Carolina,2023-01-31,220917.0,Hickory,North Carolina,35.741,-81.3223
98309,394602,152,"Fort Collins, CO",msa,Colorado,2023-01-31,519333.0,Fort Collins,Colorado,40.5477,-105.0656
98310,395033,153,"Rockford, IL",msa,Illinois,2023-01-31,141300.0,Rockford,Illinois,42.2596,-89.064
98311,394796,154,"Lincoln, NE",msa,Nebraska,2023-01-31,242650.0,Lincoln,Nebraska,40.8099,-96.6784
98312,394622,155,"Gainesville, FL",msa,Florida,2023-01-31,261667.0,Gainesville,Florida,29.6804,-82.3459
98313,394405,156,"Boulder, CO",msa,Colorado,2023-01-31,678450.0,Boulder,Colorado,40.0248,-105.2524
98314,394646,157,"Green Bay, WI",msa,Wisconsin,2023-01-31,249083.0,Green Bay,Wisconsin,44.5148,-87.9895
98315,394488,158,"Columbus, GA",msa,Georgia,2023-01-31,164000.0,Columbus,Georgia,32.51,-84.8771
98316,395107,159,"South Bend, IN",msa,Indiana,2023-01-31,166483.0,South Bend,Indiana,41.6767,-86.2696
98317,395109,160,"Spartanburg, SC",msa,South Carolina,2023-01-31,221500.0,Spartanburg,South Carolina,34.9442,-81.9251
98318,394645,161,"Greeley, CO",msa,Colorado,2023-01-31,445667.0,Greeley,Colorado,40.4152,-104.7706
98319,394808,162,"Lubbock, TX",msa,Texas,2023-01-31,211250.0,Lubbock,Texas,33.5657,-101.8879
98320,394471,163,"Clarksville, TN",msa,Tennessee,2023-01-31,259150.0,Clarksville,Tennessee,36.5692,-87.3413
98321,395028,164,"Roanoke, VA",msa,Virginia,2023-01-31,226667.0,Roanoke,Virginia,37.2785,-79.9581
98322,394579,165,"Evansville, IN",msa,Indiana,2023-01-31,166668.0,Evansville,Indiana,37.9881,-87.5341
98323,394747,167,"Kingsport, TN",msa,Tennessee,2023-01-31,183233.0,Kingsport,Tennessee,36.5224,-82.5454
98324,394741,168,"Kennewick, WA",msa,Washington,2023-01-31,385550.0,Kennewick,Washington,46.1978,-119.1732
98325,395179,169,"Utica, NY",msa,New York,2023-01-31,172142.0,Utica,New York,43.0962,-75.2261
98326,394660,170,"Hagerstown, MD",msa,Maryland,2023-01-31,250733.0,Hagerstown,Maryland,39.6401,-77.7217
98327,394543,171,"Duluth, MN",msa,Minnesota,2023-01-31,191500.0,Duluth,Minnesota,46.7756,-92.1393
98328,394937,172,"Olympia, WA",msa,Washington,2023-01-31,460700.0,Olympia,Washington,47.0417,-122.8959
98329,394803,173,"Longview, TX",msa,Texas,2023-01-31,233450.0,Longview,Texas,32.5193,-94.7622
98330,395229,174,"Wilmington, NC",msa,North Carolina,2023-01-31,354650.0,Wilmington,North Carolina,34.2099,-77.8866
98331,395061,175,"San Luis Obispo, CA",msa,California,2023-01-31,794500.0,San Luis Obispo,California,35.2669,-120.669
98332,753875,176,"Crestview, FL",msa,Florida,2023-01-31,395667.0,Crestview,Florida,30.7477,-86.5785
98333,394851,177,"Merced, CA",msa,California,2023-01-31,371417.0,Merced,California,37.3057,-120.4779
98334,395197,178,"Waco, TX",msa,Texas,2023-01-31,241133.0,Waco,Texas,31.5599,-97.1882
98335,394447,179,"Cedar Rapids, IA",msa,Iowa,2023-01-31,184000.0,Cedar Rapids,Iowa,41.9662,-91.6783
98336,394348,180,"Atlantic City, NJ",msa,New Jersey,2023-01-31,249783.0,Atlantic City,New Jersey,39.3797,-74.4527
98337,394412,181,"Bremerton, WA",msa,Washington,2023-01-31,481333.0,Bremerton,Washington,47.5436,-122.7121
98338,395103,182,"Sioux Falls, SD",msa,South Dakota,2023-01-31,281667.0,Sioux Falls,South Dakota,43.5396,-96.7311
98339,395065,183,"Santa Cruz, CA",msa,California,2023-01-31,988333.0,Santa Cruz,California,36.9789,-122.0346
98340,394572,184,"Erie, PA",msa,Pennsylvania,2023-01-31,154483.0,Erie,Pennsylvania,42.1167,-80.0733
98341,394924,185,"Norwich, CT",msa,Connecticut,2023-01-31,289500.0,Norwich,Connecticut,41.5495,-72.0882
98342,394323,186,"Amarillo, TX",msa,Texas,2023-01-31,215667.0,Amarillo,Texas,35.1984,-101.8316
98343,394772,187,"Laredo, TX",msa,Texas,2023-01-31,218333.0,Laredo,Texas,27.5625,-99.4874
98344,395171,188,"Tuscaloosa, AL",msa,Alabama,2023-01-31,214667.0,Tuscaloosa,Alabama,33.2348,-87.5268
98345,394483,189,"College Station, TX",msa,Texas,2023-01-31,281958.0,College Station,Texas,30.5852,-96.2959
98346,394732,190,"Kalamazoo, MI",msa,Michigan,2023-01-31,197250.0,Kalamazoo,Michigan,42.2749,-85.5882
98347,394811,191,"Lynchburg, VA",msa,Virginia,2023-01-31,235225.0,Lynchburg,Virginia,37.4003,-79.1909
98348,394455,192,"Charleston, WV",msa,West Virginia,2023-01-31,135500.0,Charleston,West Virginia,38.3484,-81.6322
98349,395240,193,"Yakima, WA",msa,Washington,2023-01-31,321333.0,Yakima,Washington,46.5923,-120.5496
98350,394585,194,"Fargo, ND",msa,North Dakota,2023-01-31,246317.0,Fargo,North Dakota,46.8651,-96.8292
98351,394387,195,"Binghamton, NY",msa,New York,2023-01-31,152517.0,Binghamton,New York,42.1014,-75.9093
98352,394609,196,"Fort Smith, AR",msa,Arkansas,2023-01-31,166667.0,Fort Smith,Arkansas,35.3495,-94.3695
